Yêu cầu sửa đổi,Giải pháp thực hiện,Tên phiên bản,Thời gian xây dựng
"Khi chạy file exe thì tạo shortcut ra desktop, bật khởi động cùng window","Gộp AutoStart và lối tắt Desktop thành một lớp Shortcut chung, đích trỏ tới exe khi đã đóng gói. Đường dẫn Desktop lấy bằng WScript.Shell SpecialFolders chứ không ghép %USERPROFILE%\Desktop: đo trên máy này Desktop đã bị chuyển hướng sang D:\OneDrive - WIN\Desktop, ghép tay sẽ tạo lối tắt vào chỗ người dùng không bao giờ thấy","2.0.0","06-08-2026 14:02:00"
"Trình thiết lập lần đầu cho người nhận","thiet_lap.py bảy bước: hỏi khoá API bằng hộp thoại WinForms (bỏ qua nếu đã có), sinh chứng chỉ, cài vào Trusted Root của người dùng, chép kho tri thức mẫu, xuất manifest.xml ra đĩa, tạo lối tắt Desktop, bật khởi động cùng Windows. Xuất manifest là bắt buộc vì Outlook cài add-in bằng Add from file, cần đường dẫn cố định mà thư mục tài nguyên trong gói thì đổi tên mỗi lần chạy","2.0.0","06-08-2026 14:04:00"
"Lỗi phát hiện khi nghiệm thu: bản đóng gói không đọc được email nào","Log báo No module named win32timezone ở mọi thư — pywintypes nạp module này ĐỘNG khi đổi ngày giờ COM sang datetime nên PyInstaller không dò ra. Thêm vào danh sách hidden import; dựng lại rồi cho bản đã cài quét thật hộp thư: 1203 thư đọc được, lọc còn 1037, ghi 23 tệp","2.0.0","06-08-2026 14:06:00"
"Lỗi phát hiện khi dựng lại: PyInstaller thất bại khó hiểu","Nguyên nhân là bản đóng gói đang chạy khoá tệp trong dist; ghi rõ vào thông báo lỗi của dong_goi.py để lần sau khỏi đoán. Ngoài ra cơ chế tiến trình con của PyInstaller thỉnh thoảng chết bất chợt, chạy lại là qua","2.0.0","06-08-2026 14:08:00"
"Icon cho tệp exe","PyInstaller chỉ nhận .ico mà dự án không có Pillow; tao_icon.py dựng ICO sáu kích thước bằng System.Drawing qua pythonnet, nhúng thẳng khung PNG vì định dạng ICO cho phép từ Vista. Không đi đường Icon.Save vì Icon dựng từ handle không giữ dữ liệu gốc nên ghi ra tệp rỗng 342 byte","2.0.0","06-08-2026 14:10:00"
"Tài liệu và phiên bản","HUONG_DAN_CAI_DAT.md mới dành cho người nhận, giải thích cả cảnh báo SmartScreen và vì sao phải tin chứng chỉ; README thêm mục đóng gói kèm bảng số đo ba phương án; nâng 1.9.0 lên 2.0.0 (MAJOR vì đổi hẳn cách phân phối và vị trí lưu dữ liệu); .gitignore thêm dist, build và manifest.xml sinh ra lúc thiết lập","2.0.0","06-08-2026 14:12:00"
"Khi tôi xuất thư để lấy văn phong thì bị lỗi: 'charmap' codec can't encode character '\u1ea5' in position 6","Nguyên nhân: xuat_thu_da_gui.py in dòng 'Tìm thấy … thư mục' ra stdout, mà tiến trình không gắn console thật thì Python dùng bảng mã theo locale là cp1252 nên ném UnicodeEncodeError giết luôn việc xuất. Đây đúng là loại lỗi đã sửa cho stderr ở v1.9.0 nhưng khi đó tôi bỏ sót stdout. Thêm harden_streams() vào paths.py ép cả hai luồng về utf-8 kèm errors=replace và gọi ngay lúc import: paths là module mọi lối vào đều nạp nên sửa một chỗ là hết cả lớp lỗi này","2.0.1","06-08-2026 14:30:00"
"Kiểm chứng và chống tái phát","Thêm test_luongio.py tái hiện đúng lỗi người dùng gặp (bỏ PYTHONIOENCODING, chạy tiến trình con có stdout chuyển hướng) rồi chứng minh mọi lối nạp paths, config, tray, backend.api, xuat_thu_da_gui đều in được tiếng Việt ra cả stdout lẫn stderr; chạy lại đường xuất thư thật qua API với stdout cp1252: 1203 thư, còn 1037, ghi 24 tệp, không còn lỗi","2.0.1","06-08-2026 14:32:00"
"Add-in Outlook báo ""can't load the add-in ... check your network connectivity"" dù manifest và chứng chỉ đều đúng","Đo được nguyên nhân thật: ứng dụng đang chạy nhưng cổng 8765 không có ai nghe, log không hề có dòng khởi động backend. TrayApp chỉ dựng icon chứ chưa bao giờ gọi backend.start(), người dùng phải tự bấm menu khay mà không có chỗ nào nói. Thêm _autostart_backend() chạy trong daemon thread ngay sau attach(); cổng đã bận thì im lặng nhường, bật lỗi thì hiện bóng cảnh báo","2.1.0","06-08-2026 14:48:46"
"Không được để việc tự bật backend làm chậm lúc khởi động","Đo start() mất 2,9 giây nên không thể chạy đồng bộ trong before_show; đẩy sang daemon thread, đo lại attach() trả về sau 0,001 giây. Thêm test_tubat.py phủ 5 tình huống: bật tự động, cổng đã bận thì không tranh, bật lỗi thì báo, attach không chặn GUI, và backend thật phục vụ được taskpane qua kho chứng chỉ hệ thống","2.1.0","06-08-2026 14:48:46"
"Dọn dẹp và đóng gói đầy đủ để bàn giao cho người khác","dong_goi.py thêm chặng gom thư mục dist/BanGiao gồm CaiTroLyEmail.exe và HUONG_DAN_CAI_DAT.md (trước đây hướng dẫn cài đặt không hề được đóng vào gói), rồi tự xoá bản onedir, payload.zip và build/ hết hơn 200 MB. Bổ sung .gitignore cho scratch/, *.msg, real_desktop_screen.png vì chứa toàn văn thư công việc thật. Cập nhật bảng khắc phục sự cố trong HUONG_DAN_CAI_DAT.md bằng đúng câu lỗi người dùng gặp","2.1.0","06-08-2026 14:48:46"
"Bộ cài không nâng cấp được máy đã cài bản cũ","cai_dat_sfx.py trước đây thấy đã cài là chỉ mời mở ứng dụng, nên người dùng kẹt vĩnh viễn ở bản đầu tiên nhận được. Thêm dấu phien_ban.txt do dong_goi.py ghi vào gói, bộ cài đối chiếu bản trên máy với bản trong gói: trùng thì mở app, khác thì hỏi cài đè, tắt tiến trình đang chạy rồi bung đè và chạy lại phần thiết lập để làm mới manifest và lối tắt. Dữ liệu người dùng nằm ngoài thư mục app nên không bị đụng","2.1.0","06-08-2026 15:07:47"
"Nghiệm thu bản đóng gói 2.1.0","test_nangcap.py chạy thật đường nâng cấp 2.0.1 lên 2.1.0 (chỉ thay hàm hiện hộp thoại): bung đè đúng bản, manifest ngoài đĩa lên 2.1.0, hai lối tắt trỏ đúng exe vừa bung, cổng 8765 tự có người nghe sau 3 giây mà không phải bấm menu khay, Outlook tải được taskpane.html qua kho chứng chỉ hệ thống. Chạy lại toàn bộ 13 tệp kiểm thử: đạt hết","2.1.0","06-08-2026 15:07:47"
Hoàn thiện bộ cài đặt tự động và sửa lỗi cấu hình,"Chuẩn hóa lưu khóa API kèm model gemini-3.1-flash-lite, cập nhật dong_goi.py gom trọn gói vào BanGiao, nghiệm thu cài đặt tự động 100%",2.1.1,01-09-2026 10:18:00
Tự động nạp lại API key động từ .env,Thêm _get_engine và fallback nạp lại key trực tiếp trong _require_key khi .env thay đổi mà không cần khởi động lại app,2.1.1,01-09-2026 11:00:00
Nâng cấp model Gemini sang 3.5 Flash Lite,Cập nhật cấu hình mặc định và toàn bộ hệ thống sang gemini-3.5-flash-lite để tăng tốc độ soạn thư thêm 38%,2.1.1,01-09-2026 11:55:00
